"Height" "Weight" "Age" "Salary" "Team" "Position" "Games played" "Minutes" "Fields goals made" "Fields goal attempted" "% Fields goal made" "3pts FGM" "3pts  FGA" "% 3pts FG" "Free throws made" "Free throws attempted" "% FT" "Off rebond" "Def rebond" "Total rebond" "Assits" "Turnover" "Steals" "Blocks" "Blocked fields goals attempted" "Personnal fouls" "Personnal fouls drawn" "Points" "Point differential of the score"
"Quentin Richardson" 1.98 108 32 2627400 "New York Knicks" "Forward" 1 28.9 1 11 0.09 1 4 0.25 2 2 1 5 5 10 1 2 0 0 0 1 1 5 -9
"Rasheed Wallace" 2.11 111.1 39 1352181 "New York Knicks" "Center" 21 14.1 2.6 6.8 0.39 1 3.3 0.32 0.7 1 0.7 0.5 3.4 4 0.3 0.5 0.6 0.7 0.3 1.9 0.8 7 0.4
"Raymond Felton" 1.85 93 28 3480453 "New York Knicks" "Guard" 68 34 5.5 13 0.43 1.4 3.8 0.36 1.5 1.9 0.79 0.8 2.1 2.9 5.5 2.3 1.4 0.2 0.5 1.9 2 13.9 4.1
"Ronnie Brewer 2" 2.01 106.6 28 1069509 "New York Knicks" "Forward" 46 15.5 1.4 3.8 0.37 0.5 1.5 0.31 0.3 0.8 0.41 0.6 1.5 2.2 0.9 0.3 0.7 0.1 0.3 0.6 0.7 3.6 -0.1
"Solomon Jones" 2.08 106.6 29 37737 "New York Knicks" "Forward" 2 13 0 0.5 0 0 0 0 0 0 0 0.5 1 1.5 0 1.5 0 0.5 0 1.5 1 0 0.5
"Steve Novak" 2.08 106.6 29 4054055 "New York Knicks" "Forward" 81 20.3 2.2 5.3 0.41 1.8 4.3 0.43 0.4 0.4 0.91 0.2 1.7 1.9 0.4 0.1 0.3 0.1 0 1.2 0.4 6.6 3
"Tyson Chandler" 2.16 108.9 29 13604188 "New York Knicks" "Center" 66 32.8 3.9 6.1 0.64 0 0 0 2.7 3.9 0.69 4.1 6.6 10.7 0.9 1.3 0.6 1.1 0.3 2.8 3.2 10.4 3.8
"Aron Baynes" 2.08 117.9 25 239588 "San Antonio Spurs" "Center" 16 8.8 1.1 2.3 0.5 0 0.1 0 0.4 0.8 0.58 0.8 1.3 2 0.3 0.7 0.1 0.4 0 1.4 0.6 2.7 -0.1
"Boris Diaw" 2.03 113.4 30 4500000 "San Antonio Spurs" "Forward" 75 22.8 2.4 4.4 0.54 0.4 1 0.39 0.6 0.9 0.72 0.9 2.5 3.4 2.4 1.1 0.7 0.4 0.2 1.9 1 5.8 2
"Cory Joseph" 1.91 86.2 20 1074720 "San Antonio Spurs" "Guard" 28 13.9 1.8 3.9 0.46 0.2 0.8 0.29 0.6 0.8 0.86 0.4 1.4 1.9 1.9 0.8 0.5 0.1 0.4 0.9 1 4.5 -0.2
"Danny Green" 1.98 97.5 25 3500000 "San Antonio Spurs" "Guard" 80 27.5 3.7 8.3 0.45 2.2 5.2 0.43 0.8 1 0.85 0.5 2.6 3.1 1.8 1.2 1.2 0.7 0.3 1.6 1 10.5 3.9
"DeJuan Blair" 2.01 122.5 23 1054000 "San Antonio Spurs" "Forward" 61 14 2.3 4.4 0.52 0 0 0 0.7 1.1 0.63 1.1 2.7 3.8 0.7 0.8 0.6 0.2 0.4 1.8 0.9 5.4 -0.4
"Gary Neal" 1.93 95.3 27 854389 "San Antonio Spurs" "Guard" 68 21.8 3.6 8.8 0.41 1.3 3.7 0.36 0.9 1.1 0.87 0.2 1.9 2.1 1.9 1 0.4 0 0.3 1.4 1 9.5 1.5
"James Anderson" 1.98 95.3 24 160826 "San Antonio Spurs" "Forward" 10 9.4 1.1 2.5 0.44 0.5 1.1 0.46 0.7 0.9 0.78 0.3 1.1 1.4 0.9 0.7 0.3 0.2 0.1 0.7 0.5 3.4 4.1
"Kawhi Leonard" 2.01 104.3 21 1809840 "San Antonio Spurs" "Forward" 58 31.2 4.5 9.1 0.49 1.1 3 0.37 1.8 2.2 0.83 1.1 4.9 6 1.6 1.1 1.7 0.6 0.5 1.7 1.6 11.9 6.1
"Manu Ginobili" 1.98 93 34 14107492 "San Antonio Spurs" "Guard" 60 23.2 3.8 9 0.43 1.4 3.9 0.35 2.7 3.4 0.8 0.5 2.9 3.4 4.6 2.2 1.3 0.2 0.4 1.9 2.9 11.8 3.9
"Matt Bonner" 2.08 106.6 32 3630000 "San Antonio Spurs" "Forward" 68 13.4 1.6 3.4 0.49 0.8 1.8 0.44 0.2 0.2 0.73 0.4 1.5 1.9 0.5 0.2 0.3 0.3 0 1.3 0.5 4.2 1.2
"Nando De Colo" 1.96 88.5 25 1400000 "San Antonio Spurs" "Guard" 72 12.8 1.5 3.3 0.44 0.4 1.1 0.38 0.5 0.6 0.8 0.3 1.6 1.9 1.9 1.1 0.6 0.1 0.2 1.2 0.8 3.8 -0.5
"Patty Mills" 1.83 83.9 23 1085120 "San Antonio Spurs" "Guard" 58 11.3 1.9 4.2 0.47 0.9 2.2 0.4 0.3 0.3 0.84 0.2 0.7 0.9 1.1 0.7 0.4 0.1 0.2 0.9 0.7 5.1 0.6
"Stephen Jackson" 2.03 99.8 35 10059750 "San Antonio Spurs" "Forward" 55 19.5 2.2 6 0.37 0.8 3.1 0.27 0.9 1.3 0.7 0.4 2.4 2.8 1.5 1.4 0.7 0.3 0.3 1.6 1.2 6.2 1.8
"Tiago Splitter" 2.11 111.1 27 3944000 "San Antonio Spurs" "Forward" 81 24.7 3.9 7 0.56 0 0 0 2.6 3.5 0.73 1.8 4.6 6.4 1.6 1.2 0.8 0.8 1 2 3.1 10.3 4.7
"Tim Duncan" 2.11 113.4 36 9638554 "San Antonio Spurs" "Center" 69 30.1 7.1 14.1 0.5 0 0.1 0.29 3.6 4.3 0.82 1.8 8.1 9.9 2.7 2.1 0.7 2.7 1.1 1.7 3.7 17.8 6.7
"Tony Parker" 1.88 83.9 30 12500000 "San Antonio Spurs" "Guard" 66 32.9 7.9 15.1 0.52 0.4 1 0.35 4.2 5 0.85 0.3 2.7 3 7.6 2.6 0.8 0.1 1 1.4 4.2 20.3 6.8
